Wavelength (nm),%T
1100.00891,66.71698
1099.01062,67.44975
1098.01148,67.69808
1097.0116,65.67944
1096.01099,68.30357
1095.00964,68.88803
1094.00745,70.31181
1093.00452,69.5045
1092.00085,70.79745
1090.99658,67.63152
1089.99121,69.41491
1088.98535,67.69868
1088.0083,70.10232
1087.00085,68.5422
1085.99255,68.59972
1085.01343,69.65812
1084.00366,68.69737
1082.99329,68.64959
1082.01184,69.84609
1080.99988,67.24571
1079.98718,71.11864
1079.00354,69.14963
1077.98938,68.73503
1077.00427,65.60008
1075.98865,67.54752
1075.00208,70.28961
1073.98511,68.73871
1072.99707,70.45667
1072.00855,68.70229
1070.98926,71.62711
1069.99915,69.77605
1069.00842,69.37042
1067.98694,69.77151
1066.99475,72.46078
1066.00183,69.246
1065.0083,70.88467
1064.01392,70.14279
1062.98877,69.11523
1061.99316,70.53514
1060.99683,69.15208
1059.99976,71.96659
1059.00195,70.46252
1058.00354,70.33873
1057.0044,71.03897
1056.0044,70.51096
1055.00391,70.29791
1054.00269,71.57976
1053.00073,70.38652
1051.99817,70.83864
1050.99475,71.05975
1049.99085,71.51085
1048.98608,72.13651
1048.01123,71.32087
1047.00501,71.63488
1045.99841,71.26207
1044.99109,71.33262
1044.01343,71.72202
1043.00464,71.59512
1041.99512,72.41136
1040.98511,72.30904
1040.00501,71.89962
1038.99341,72.38242
1038.01184,72.1133
1036.99902,72.55193
1035.9856,72.64357
1035.0022,72.57249
1033.98731,72.62506
1033.00269,73.3873
1031.98633,72.92449
1031.00037,72.32256
1030.01379,72.60793
1028.99548,72.79067
1028.00757,73.09145
1026.98804,72.90697
1025.99878,73.27979
1025.00903,72.98906
1023.98755,73.65263
1022.99628,73.49052
1022.00452,73.83067
1021.01209,73.51149
1019.98792,73.74408
1018.99432,73.62969
1017.99988,73.90947
1017.00494,73.4064
1016.0094,74.30246
1015.01325,74.24801
1013.98517,74.04563
1012.98773,74.19952
1011.98956,74.33915
1010.99078,74.42029
1009.99152,74.42285
1008.99139,74.86078
1007.99085,74.87399
1006.98962,74.82797
1005.98792,74.6617
1004.98535,74.74574
1004.01367,75.0901
1003.01001,75.1198
1002.00568,75.19611
1001.00073,75.07241
999.99524,75.45138
998.98901,75.23669
998.01373,75.6053
997.00641,75.61592
995.99835,75.76614
994.98981,75.6847
994.01209,75.84904
993.00226,76.00474
991.99188,76.08775
991.01239,76.05989
990.00085,76.1402
988.98859,76.12594
988.00739,76.43674
986.99396,76.47507
986.01166,76.71755
984.99707,76.71852
984.01355,76.63888
982.99756,76.73484
982.01294,76.89574
980.99597,76.88148
980.01013,76.97976
978.992,77.01742
978.005,77.48863
976.98553,77.16987
975.9975,77.34731
975.00873,77.25417
973.98755,77.40158
972.99774,77.33621
972.00739,77.64133
970.98438,77.6909
969.99292,77.77256
969.00079,77.88067
968.00806,77.8661
967.01501,78.08475
965.98907,78.12632
964.99469,77.78079
963.99976,78.08567
963.00433,78.4683
962.00836,78.32978
961.01178,78.51768
960.01453,78.67504
